name,image,hangul,romanization,katakana,origin,genres,debut,disbanded,years_active,label,associated,members_current,members_former,website,sns,fandom,colors,related,other_names,group_name,link,type,gender,youtube_data,youtube_subscribers,youtube_videos,sns_parsed,youtube_link
&TEAM,https://static.wikia.nocookie.net/kpop/images/4/4f/%26TEAM_Yukiakari_group_concept_photo_2.webp/revision/latest/scale-to-width-down/350?cb=20241117151834,앤팀,aentim,アンドチーム,"Tokyo, Japan Seoul, South Korea","J-pop, pop, dance","December 7, 2022",,2021–present,YX LABELS,&AUDITION - The Howling -,"['K', 'Fuma', 'Nicholas', 'EJ', 'Yuma', 'Jo', 'Harua', 'TAKI', 'Maki']",[],['https://www.andteam-official.jp/'],"['https://www.instagram.com/andteam_official/', 'https://www.tiktok.com/@andteam_official', 'https://twitter.com/andTEAMofficial', 'https://twitter.com/andTEAM_members', 'https://www.weverse.io/andteam/artistpedia', 'https://www.youtube.com/channel/UCHD1jo5RhijLfx5-0Ehe_cg', 'https://space.bilibili.com/3493278909467078', 'https://www.weibo.com/andTEAM']",LUNÉ (르네) [1],,&TEAM Wiki • I-land Wiki • J-Pop Wiki,&AUDITION Boys (pre-debut),&TEAM,https://kpop.fandom.com/wiki/%26TEAM,group,male,"{'subscribers': 1060000, 'top_videos': []}",1060000.0,[],"['https://www.instagram.com/andteam_official/', 'https://www.tiktok.com/@andteam_official', 'https://twitter.com/andTEAMofficial', 'https://twitter.com/andTEAM_members', 'https://www.weverse.io/andteam/artistpedia', 'https://www.youtube.com/channel/UCHD1jo5RhijLfx5-0Ehe_cg', 'https://space.bilibili.com/3493278909467078', 'https://www.weibo.com/andTEAM']",https://www.youtube.com/channel/UCHD1jo5RhijLfx5-0Ehe_cg
00d00m00y,,00일00월00년,,,"Seoul, South Korea",,,,2024-present,IST Entertainment,,"['T', 'M', 'B', 'P', 'SS', 'TF', 'N']",['Ki Hyeong Jun'],[],['https://www.instagram.com/00d00m00y/'],,,,,00d00m00y,https://kpop.fandom.com/wiki/00d00m00y,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.instagram.com/00d00m00y/'],
015B,https://static.wikia.nocookie.net/kpop/images/c/c1/015B_profile_photo.png/revision/latest/scale-to-width-down/350?cb=20180328040434,공일오비,,,South Korea,"Pop, ballad, electronic","July 15, 1990",,1990–1996 2006–2007 2011–2012 2017–present,THE015B (2018–present) Vlending Mbro Entium Danal Daeyoung A&V Polios,Yoon Jong Shin,"['Jang Ho Il', 'Jung Suk Won']","['Cho Hyung Gon', 'Cho Hyun Chan']",['https://www.015b.co.kr/'],"['https://www.facebook.com/015BOfficial', 'https://www.instagram.com/015BOfficial/', 'https://www.youtube.com/channel/UCl9QssCLiv9jD6u2QLIYAeg']",,,,,015B,https://kpop.fandom.com/wiki/015B,group,male,"{'subscribers': 26400, 'top_videos': []}",26400.0,[],"['https://www.facebook.com/015BOfficial', 'https://www.instagram.com/015BOfficial/', 'https://www.youtube.com/channel/UCl9QssCLiv9jD6u2QLIYAeg']",https://www.youtube.com/channel/UCl9QssCLiv9jD6u2QLIYAeg
100%,https://static.wikia.nocookie.net/kpop/images/2/21/100%25_Retro_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20190314090916,백퍼센트,,,"Seoul, South Korea","Pop, ballad","September 18, 2012 (South Korea) January 25, 2017 (Japan)","October 9, 2021",2012–2021,TOP Media (South Korea) KISS Entertainment (Japan),100% V,[],"['Minwoo', 'Rockhyun', 'Jonghwan', 'Chanyong', 'Changbum', 'Hyukjin', 'Sanghoon']","['http://www.100per.kr/', 'https://100pct.jp']","['http://cafe.daum.net/100PERCENT', 'https://www.facebook.com/Official100percent', 'https://www.instagram.com/100pergram/', 'https://twitter.com/TOP_100PERCENT', 'https://www.weibo.com/100percentofficial?', 'https://www.youtube.com/channel/UCji4MHZnUaijm2s3tpHOlJg']",PERFECTION,Crystal Seas Starlight Blue ☁️ Cloud,,100 Percent,100% (group),https://kpop.fandom.com/wiki/100%25_(group),group,male,"{'subscribers': 126000, 'top_videos': []}",126000.0,[],"['http://cafe.daum.net/100PERCENT', 'https://www.facebook.com/Official100percent', 'https://www.instagram.com/100pergram/', 'https://twitter.com/TOP_100PERCENT', 'https://www.weibo.com/100percentofficial?', 'https://www.youtube.com/channel/UCji4MHZnUaijm2s3tpHOlJg']",https://www.youtube.com/channel/UCji4MHZnUaijm2s3tpHOlJg
13Found,https://static.wikia.nocookie.net/kpop/images/d/db/13Found_Found_group_concept_photo_%2810%29.png/revision/latest/scale-to-width-down/350?cb=20250103141355,13파운드,,13ファウンド,South Korea,"Dance, pop","November 13, 2024",,2024–present,TAKIEL,,"['Kim Seongyeon', 'Song Chiwon', 'Park Minseo']",[],[],"['https://www.instagram.com/13found_official/', 'https://twitter.com/13Found', 'https://www.youtube.com/@13Foundofficial']",,,,,13Found,https://kpop.fandom.com/wiki/13Found,group,male,"{'subscribers': 39100, 'top_videos': []}",39100.0,[],"['https://www.instagram.com/13found_official/', 'https://twitter.com/13Found', 'https://www.youtube.com/@13Foundofficial']",https://www.youtube.com/@13Foundofficial
14U,https://static.wikia.nocookie.net/kpop/images/d/d8/14U_2019_group_profile_photo.png/revision/latest/scale-to-width-down/350?cb=20230722122026,,,,South Korea Japan,Pop,"July 22, 2017","May 13, 2019",2017–2019,BG Entertainment,,[],"['E.Sol', 'Luha', 'Go Hyeon', 'B.S', 'Loudi', 'Eunjae', 'Woojoo', 'Doyul', 'Dohyuk', 'Hyun Woong', 'Youngwoong', 'Rio', 'Sejin', 'Gyeongtae', 'Gun']",[],"['https://www.facebook.com/14uOFFICIAL', 'http://cafe.daum.net/14u-official', 'https://www.instagram.com/14u.official/', 'https://twitter.com/14U_baekgom', 'https://www.youtube.com/channel/UCGqsKFB42eQ3YmngRoPXgug', 'https://twitter.com/14U_JP']",ONLY U (온리유),,,,14U,https://kpop.fandom.com/wiki/14U,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.facebook.com/14uOFFICIAL', 'http://cafe.daum.net/14u-official', 'https://www.instagram.com/14u.official/', 'https://twitter.com/14U_baekgom', 'https://www.youtube.com/channel/UCGqsKFB42eQ3YmngRoPXgug', 'https://twitter.com/14U_JP']",https://www.youtube.com/channel/UCGqsKFB42eQ3YmngRoPXgug
1TEAM,https://static.wikia.nocookie.net/kpop/images/c/c1/1TEAM_Ullaeli_Kkollaeli_group_concept_photo.png/revision/latest/scale-to-width-down/350?cb=20200721185047,,,,"Seoul, South Korea",Pop,"March 27, 2019","March 14, 2021",2019–2021,Liveworks Company,,[],"['BC', 'Rubin', 'Jin Woo', 'Je Hyun', 'Jung Hoon']",['http://www.lworks.co.kr/1TEAM'],"['http://cafe.daum.net/1TEAM-OFFICIAL', 'https://www.instagram.com/official_1team/', 'https://www.tiktok.com/@1team.official', 'https://twitter.com/1team_official', 'https://twitter.com/1team_twt', 'https://www.youtube.com/channel/UCuUdOz_f9ZU4diWkppQvP9w', 'https://twitter.com/1team_Japan']",TEAM ONE (팀원),,,Team LWZ (팀라웍즈),1TEAM,https://kpop.fandom.com/wiki/1TEAM,group,male,"{'subscribers': 102000, 'top_videos': []}",102000.0,[],"['http://cafe.daum.net/1TEAM-OFFICIAL', 'https://www.instagram.com/official_1team/', 'https://www.tiktok.com/@1team.official', 'https://twitter.com/1team_official', 'https://twitter.com/1team_twt', 'https://www.youtube.com/channel/UCuUdOz_f9ZU4diWkppQvP9w', 'https://twitter.com/1team_Japan']",https://www.youtube.com/channel/UCuUdOz_f9ZU4diWkppQvP9w
1THE9,https://static.wikia.nocookie.net/kpop/images/a/a8/1THE9_Good_Bye_1THE9_group_promo_photo_%281%29.png/revision/latest/scale-to-width-down/350?cb=20200806060235,원더나인,,,"Seoul, South Korea",Pop,"April 13, 2019","August 8, 2020",2019–2020,MBK Entertainment PocketDol Studio,Under Nineteen,[],"['Yongha', 'Taewoo', 'Seunghwan', 'Yechan', 'Junseo', 'Doyum', 'Jinsung', 'Taekhyeon', 'Sungwon']",[],"['https://www.facebook.com/official.1the9', 'https://www.instagram.com/official__1the9/', 'https://twitter.com/official__1the9', 'https://twitter.com/1the9__official', 'https://www.youtube.com/channel/UCFBr_RTe9eJPsISi_yPl65g']",Wonderland,Lime Punch,,,1THE9,https://kpop.fandom.com/wiki/1THE9,group,male,"{'subscribers': 101000, 'top_videos': []}",101000.0,[],"['https://www.facebook.com/official.1the9', 'https://www.instagram.com/official__1the9/', 'https://twitter.com/official__1the9', 'https://twitter.com/1the9__official', 'https://www.youtube.com/channel/UCFBr_RTe9eJPsISi_yPl65g']",https://www.youtube.com/channel/UCFBr_RTe9eJPsISi_yPl65g
1TYM,https://static.wikia.nocookie.net/kpop/images/b/bd/1TYM_One_Way_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20120331080830,원타임,,ワンタイム,South Korea,"Rap, hip hop, dance, ballad","November 1, 1998",,1998-2006 (indefinite hiatus),YG Entertainment (1998–2006),,"['Oh Jin Hwan', 'Teddy', 'Song Baek Kyung', 'Danny']",[],['https://static.wikia.nocookie.net/kpop/images/b/b0/Website_Icon.png/revision/latest?cb=20230315073045'],[],Hip Hop Village (힙합빌리지),Black,K-Hip Hop Wiki,,1TYM,https://kpop.fandom.com/wiki/1TYM,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
1VERSE,https://static.wikia.nocookie.net/kpop/images/a/a6/1VERSE_group_profile_photo_4.png/revision/latest/scale-to-width-down/350?cb=20250129075330,,,,South Korea,,,,2023–present,Singing Beetle,,"['Hyuk', 'Seok', 'Nathan', 'Kenny', 'Aito']",[],[],"['https://www.instagram.com/official1verse/', 'https://www.tiktok.com/@1VERSE_official', 'https://twitter.com/1VERSE_official', 'https://www.youtube.com/@1VERSE_official']",,,,SB BOYZ,1VERSE,https://kpop.fandom.com/wiki/1VERSE,group,male,"{'subscribers': 69100, 'top_videos': []}",69100.0,[],"['https://www.instagram.com/official1verse/', 'https://www.tiktok.com/@1VERSE_official', 'https://twitter.com/1VERSE_official', 'https://www.youtube.com/@1VERSE_official']",https://www.youtube.com/@1VERSE_official
20star,,,,,South Korea,,,c. 2010,2010,TGN Entertainment,,[],"['Taepoong', 'Yonghwan', 'A-Run', 'Siwoo', 'Daeyoung', 'Shinsung', 'Sangmin', 'Hwan', 'Rui', 'Ryan', 'Seungtae', 'Ricky', 'Xeno', 'Dongkyu', 'Hongmin', 'Sihoo', 'Jihyeok', 'Jasung', 'Jinhan', 'Min', 'Aiden']",[],[],,,,,20star,https://kpop.fandom.com/wiki/20star,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
24K+,https://static.wikia.nocookie.net/kpop/images/c/c2/24K%2B_Roller_Coaster_group_concept_photo_2.png/revision/latest/scale-to-width-down/350?cb=20231117150515,,,,"Seoul, South Korea",Pop,,,2012–present,Choeun Entertainment,,"['Kiyong', 'Imchan', 'Xiwoo', 'Yuma', 'Takeru']","['Seokjune', 'Byungho', 'Sungoh', 'Hui', 'Daeil', 'Cory', 'Jinhong', 'Hongseob', 'Jeonguk', 'Kisu', 'Dojun', 'Youmin', 'Youngwoong', 'Changsun']",[],"['http://cafe.daum.net/official24K', 'https://www.facebook.com/CHOEUNENT.24K', 'https://www.instagram.com/24k__official/', 'https://www.tiktok.com/@24k__official', 'https://twitter.com/24Kplus_offcl', 'https://twitter.com/24Kplus_offcl', 'https://www.youtube.com/@choeunentofficial', 'https://www.weibo.com/official24K']",24U,Glitter Gold Yellow Gold,,24K (투포케이),24K+,https://kpop.fandom.com/wiki/24K%2B,group,male,"{'subscribers': 93800, 'top_videos': []}",93800.0,[],"['http://cafe.daum.net/official24K', 'https://www.facebook.com/CHOEUNENT.24K', 'https://www.instagram.com/24k__official/', 'https://www.tiktok.com/@24k__official', 'https://twitter.com/24Kplus_offcl', 'https://twitter.com/24Kplus_offcl', 'https://www.youtube.com/@choeunentofficial', 'https://www.weibo.com/official24K']",https://www.youtube.com/@choeunentofficial
2AM,https://static.wikia.nocookie.net/kpop/images/2/25/2AM_Ballad_21_F-W_group_teaser_photo.png/revision/latest/scale-to-width-down/350?cb=20211011185417,투에이엠,,,"Seoul, South Korea","Ballad, pop, R&B, soul","July 11, 2008",,2008–2014 2021–present,CultureDepot (2021–present) JYP Entertainment (2008–2014) Big Hit Entertainment (2010–2014),One Day 2PM,"['Jo Kwon', 'Changmin', 'Seulong', 'Jinwoon']",[],['http://www.2amjapan.com/'],"['https://www.facebook.com/2amofficial', 'https://www.instagram.com/voice_2am/', 'https://twitter.com/voice_2am', 'https://www.youtube.com/user/2am']",IAM (아이엠),Black Pearl,,,2AM,https://kpop.fandom.com/wiki/2AM,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.facebook.com/2amofficial', 'https://www.instagram.com/voice_2am/', 'https://twitter.com/voice_2am', 'https://www.youtube.com/user/2am']",https://www.youtube.com/user/2am
2PM,https://static.wikia.nocookie.net/kpop/images/9/9c/2PM_Must_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20210622153359,투피엠,,,"Seoul, South Korea","Pop, hip-hop, R&B, electronic","September 4, 2008",,2008–present (inactive; 2017-2021),JYP Entertainment,One Day 2AM,"['Jun. K', 'Nichkhun', 'Taecyeon', 'Wooyoung', 'Junho', 'Chansung']",['Jaebeom'],"['http://2pm.jype.com/', 'http://www.2pmjapan.com/']","['https://www.facebook.com/2pm.jype', 'https://www.instagram.com/real_2pmstagram/', 'https://fans.jype.com/2PM', 'https://twitter.com/follow_2pm', 'https://www.youtube.com/user/2PM', 'https://twitter.com/follow_2PMJP', 'https://www.youtube.com/user/2pmSMEJ']",HOTTEST (핫티스트),Pearl Black,2PM Wiki • JYP Nation Wiki,,2PM,https://kpop.fandom.com/wiki/2PM,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.facebook.com/2pm.jype', 'https://www.instagram.com/real_2pmstagram/', 'https://fans.jype.com/2PM', 'https://twitter.com/follow_2pm', 'https://www.youtube.com/user/2PM', 'https://twitter.com/follow_2PMJP', 'https://www.youtube.com/user/2pmSMEJ']",https://www.youtube.com/user/2PM
2Z,https://static.wikia.nocookie.net/kpop/images/0/01/2Z_Playground_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20240713045453,,,,South Korea,Pop rock,"January 14, 2020",,2020–present,UZUROCKS Entertainment (2022–present) GOGO2020 (2020–present) Morph Management (2020),,"['Bum Jun', 'Ho Jin', 'Ji Seob', 'Jung Hyun', 'Zunon']",['Hyun Woong'],[],"['https://www.facebook.com/2Z-투지-100175311442884', 'https://www.instagram.com/2zband_official/', 'https://cafe.naver.com/2zbandfancafe', 'https://twitter.com/official2z', 'https://www.youtube.com/channel/UCZEAJDihVmamN158F3uVlNA', 'https://twitter.com/Official2z_jp']",From A,Illuminating [1],,TuZi Tu:Zi,2Z,https://kpop.fandom.com/wiki/2Z,group,male,"{'subscribers': 122000, 'top_videos': []}",122000.0,[],"['https://www.facebook.com/2Z-투지-100175311442884', 'https://www.instagram.com/2zband_official/', 'https://cafe.naver.com/2zbandfancafe', 'https://twitter.com/official2z', 'https://www.youtube.com/channel/UCZEAJDihVmamN158F3uVlNA', 'https://twitter.com/Official2z_jp']",https://www.youtube.com/channel/UCZEAJDihVmamN158F3uVlNA
3WAY,https://static.wikia.nocookie.net/kpop/images/6/66/3WAY_Highway_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20250220055952,,,,,,"February 27, 2025",,2023–present,NineTwo Entertainment,,"['Leno', 'Donghyun', 'Xiho', 'Hyecheon', 'Ryo', 'Jeongyoon', 'Wooseok', 'Rintaro', 'Aoi']",[],[],"['http://cafe.daum.net/www.3way', 'https://www.instagram.com/www_3way/', 'https://www.tiktok.com/@www_3way', 'https://twitter.com/www_3way', 'https://www.youtube.com/@Official_3WAY']",ALWAYz (올웨이즈),,,World Wide Wonder,3WAY,https://kpop.fandom.com/wiki/3WAY,group,male,"{'subscribers': 11600, 'top_videos': []}",11600.0,[],"['http://cafe.daum.net/www.3way', 'https://www.instagram.com/www_3way/', 'https://www.tiktok.com/@www_3way', 'https://twitter.com/www_3way', 'https://www.youtube.com/@Official_3WAY']",https://www.youtube.com/@Official_3WAY
4MEN,https://static.wikia.nocookie.net/kpop/images/7/78/4MEN_The_Eternal_group_promo_photo.png/revision/latest/scale-to-width-down/333?cb=20210604095800,,,,South Korea,"R&B, soul","February 1, 1998",,"1998–2019, 2021–present","Woongjin Media Music Story A.N. Corps Music In MAJOR9 (2017–2019, 2021–present) The Vibe Entertainment (2014–2017) Happyface Entertainment (2011–2014) YWHO Enterprise (2010–2011)",2F,"['Haeun', 'Yosep', 'Hanbin']","['Shin Yong Jae', 'Kim Won Joo', 'Yun Min Soo', 'Jeong Se Young', 'Han Hyeon Hee', 'Lee Jeong Ho', 'J1', 'Kim Young Jae']",[],"['http://cafe.daum.net/4men', 'https://www.facebook.com/4menhappy']",,,,Four Men 4men,4MEN,https://kpop.fandom.com/wiki/4MEN,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['http://cafe.daum.net/4men', 'https://www.facebook.com/4menhappy']",
5NL,https://static.wikia.nocookie.net/kpop/images/8/8a/5NL_5NL_and_Today_concept_photo_4.png/revision/latest/scale-to-width-down/350?cb=20230227222530,오늘,,,,"Dance, pop","October 30, 2015",c. early 2018,2015–2018,Urbane Music,Street.75,[],"['Hangyeon', 'Donggyun', 'Seongcheol', 'Juryeon']",[],[],,,,,5NL,https://kpop.fandom.com/wiki/5NL,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
5tion,https://static.wikia.nocookie.net/kpop/images/b/bb/5tion_performing_at_5tion_Live_in_Osaka_2022.png/revision/latest/scale-to-width-down/350?cb=20220514173321,오션,,,"Seoul, South Korea","Pop, R&B, ballad","December 27, 2001 (South Korea) May 15, 2013 (Japan)",,2001–2006 2010–present,Irion Entertainment (2022-present) Shine E&M (2020-2021) IV Entertainment (2015-present) JT Corea Entertainment (2016) Luminant Entertainment (2013-2015) Yewon Entertainment (2013-2014) Akatsuki Label (2013) KSTORY Entertainment (2012-2013) Chani Entertainment (2012) SH Entertainment (2011) Synnara Music (2001-2011) Danal Entertainment Cooking Music Excel International,,"['Ilkwon', 'Junyeong', 'Changwoo', 'Juho', 'Junho']","['Lee Tae Kyung', 'Hwang Sung Hwan', 'Lee Hyun', 'Kyne', 'Wooil', 'Kim Min Sung', 'Yoo Seok Ho', 'Kim Chang Min', 'Boseok', 'Len', 'Noa', 'Marine']","['http://www.shine-enm.com/5tion/', 'http://5tion-jp.com/']","['https://www.facebook.com/5tion.official', 'https://twitter.com/5tion_official', 'https://www.youtube.com/channel/UCvNI0qDVO0XShUO-StzkG9Q']",,,,5TION,5tion,https://kpop.fandom.com/wiki/5tion,group,male,"{'subscribers': 759, 'top_videos': []}",759.0,[],"['https://www.facebook.com/5tion.official', 'https://twitter.com/5tion_official', 'https://www.youtube.com/channel/UCvNI0qDVO0XShUO-StzkG9Q']",https://www.youtube.com/channel/UCvNI0qDVO0XShUO-StzkG9Q
5URPRISE,https://static.wikia.nocookie.net/kpop/images/9/92/5URPRISE_Shake_It_Up_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20200330012504,서프라이즈,,,"Seoul, South Korea",Ballad,"November 18, 2014","March 31, 2020",2013–2020,Fantagio Music (Korea) King Records (Japan),,[],"['Yoo Il', 'Seo Kang Jun', 'Gong Myoung', 'Kang Tae Oh', 'Lee Tae Hwan']",[],['http://cafe.daum.net/5urprise'],,,,,5URPRISE,https://kpop.fandom.com/wiki/5URPRISE,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],['http://cafe.daum.net/5urprise'],
7942,https://static.wikia.nocookie.net/kpop/images/1/14/7942_I_Love_You_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20231124214239,칠구사이,,,,"Dance, ballad","April 12, 2012",c. 2014,2012–2014,E.M Brothers,,[],"['Haenghun', 'Johun', 'Jonghyun', 'Eungju', 'Elvin']",[],[],,,,CGSE,7942,https://kpop.fandom.com/wiki/7942,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
82MAJOR,https://static.wikia.nocookie.net/kpop/images/0/00/82MAJOR_X-82_group_concept_photo_1.png/revision/latest/scale-to-width-down/350?cb=20240926184636,팔이메이저,,エイティーツーメジャー,South Korea,,"October 11, 2023",,2022–present,Great M Entertainment,,"['Seongil', 'Yechan', 'Seongmo', 'Seongbin', 'Seokjoon', 'Dogyun']",[],[],"['http://cafe.daum.net/82major', 'https://www.instagram.com/82major_official/', 'https://soundcloud.com/82major_official', 'https://www.tiktok.com/@82major_official', 'https://twitter.com/82MAJOR_231011', 'https://twitter.com/82Message', 'https://www.weverse.io/82major/artistpedia', 'https://www.youtube.com/@82major_official', 'https://twitter.com/82MAJOR_JP']",82DE (에티튜드) [1],,82MAJOR Wiki,Rare House (레어하우스) (pre-debut),82MAJOR,https://kpop.fandom.com/wiki/82MAJOR,group,male,"{'subscribers': 489000, 'top_videos': []}",489000.0,[],"['http://cafe.daum.net/82major', 'https://www.instagram.com/82major_official/', 'https://soundcloud.com/82major_official', 'https://www.tiktok.com/@82major_official', 'https://twitter.com/82MAJOR_231011', 'https://twitter.com/82Message', 'https://www.weverse.io/82major/artistpedia', 'https://www.youtube.com/@82major_official', 'https://twitter.com/82MAJOR_JP']",https://www.youtube.com/@82major_official
8TURN,https://static.wikia.nocookie.net/kpop/images/8/84/8TURN_Leggo_group_concept_photo_5.png/revision/latest/scale-to-width-down/350?cb=20250219154533,에잇턴,,エイトターン,South Korea,"Hip-hop, dance, pop, R&B","January 30, 2023 (South Korea) March 6, 2024 (Japan)",,2022–present,MNH Entertainment,,"['Myungho', 'Jaeyun', 'Minho', 'Yoonsung', 'Haemin', 'Kyungmin', 'Yungyu', 'Seungheon']",[],['https://8turn-jp.com'],"['http://cafe.daum.net/8TURN', 'https://www.facebook.com/8TURNofficial', 'https://www.instagram.com/8turn.official/', 'https://www.tiktok.com/@8turn_official', 'https://twitter.com/8TURN_official', 'https://twitter.com/MEMBERS_8TURN', 'https://www.youtube.com/@8TURN.official', 'https://twitter.com/8turnJapan', 'https://www.weibo.com/7811624288']",TURNING (터닝) [1],,8TURN Wiki,BOM (Boys Of MNH) (pre-debut),8TURN,https://kpop.fandom.com/wiki/8TURN,group,male,"{'subscribers': 1270000, 'top_videos': []}",1270000.0,[],"['http://cafe.daum.net/8TURN', 'https://www.facebook.com/8TURNofficial', 'https://www.instagram.com/8turn.official/', 'https://www.tiktok.com/@8turn_official', 'https://twitter.com/8TURN_official', 'https://twitter.com/MEMBERS_8TURN', 'https://www.youtube.com/@8TURN.official', 'https://twitter.com/8turnJapan', 'https://www.weibo.com/7811624288']",https://www.youtube.com/@8TURN.official
A'ST1,https://static.wikia.nocookie.net/kpop/images/a/a5/A%27ST1_1.2.3.4.BACK_promotional_photo.png/revision/latest/scale-to-width-down/350?cb=20171223171457,에이스타일,,,South Korea,Pop,"April 17, 2008","November 27, 2009 (unofficial) December 1, 2009 (official)",2008–2009,DSP Media,,[],"['Jungjin', 'Tomo', 'Haiming', 'Jangmoon', 'Inkyu', 'Hanbyul']",[],[],Eunice,Pearl Purple,,,A'ST1,https://kpop.fandom.com/wiki/A%27ST1,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],[],
A-JAX,https://static.wikia.nocookie.net/kpop/images/d/dd/A-JAX_You_group_promo_photo.png/revision/latest/scale-to-width-down/350?cb=20220116102003,,,,"Seoul, South Korea",Pop,"June 1, 2012","March 31, 2019",2012–2019,DSP Media (South Korea) Universal Stigma (Japan) Star Power (China),,[],"['Sungmin', 'Jihu', 'Jaehyung', 'Dowoo', 'Yunyoung', 'Seungjin', 'Seungyeop', 'Joonghee']","['http://ajax.dspmedia.co.kr/', 'http://a-jax.jp/']","['https://www.facebook.com/dspajax', 'https://twitter.com/A_JAXOFFICIAL', 'https://www.youtube.com/user/dspAJAX', 'https://www.instagram.com/a_jax_jpfc/', 'https://twitter.com/A_JAX_JPFC']",A-Light,,,DSP Boyz (pre-debut),A-JAX,https://kpop.fandom.com/wiki/A-JAX,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],"['https://www.facebook.com/dspajax', 'https://twitter.com/A_JAXOFFICIAL', 'https://www.youtube.com/user/dspAJAX', 'https://www.instagram.com/a_jax_jpfc/', 'https://twitter.com/A_JAX_JPFC']",https://www.youtube.com/user/dspAJAX
A-PRINCE,https://static.wikia.nocookie.net/kpop/images/c/ca/A-Prince_Kiss_Scene_group_photo.png/revision/latest/scale-to-width-down/350?cb=20160116092628,,,,"Seoul, South Korea",Pop,,,2011–2015,Excellent Entertainment New Planet Entertainment,,[],"['Sungwon', 'Min Hyuk', 'Si Yoon', 'Seung Jun', 'Woo Bin', 'Tae Hyuk', 'Seung Yul', 'Geon Woo', 'Yoo Jun']",[],['https://www.instagram.com//'],A-Land,,,Taken (테이큰),A-PRINCE,https://kpop.fandom.com/wiki/A-PRINCE,group,male,"{'subscribers': 0, 'top_videos': []}",0.0,[],['https://www.instagram.com//'],
A.C.E,https://static.wikia.nocookie.net/kpop/images/2/21/A.C.E_Pinata_group_concept_photo_13.png/revision/latest/scale-to-width-down/350?cb=20241111121834,에이스,,エイス,"Seoul, South Korea","Dance, pop","May 23, 2017",,2017–present,Beat Interactive (South Korea; 2017–present) Swing Entertainment [1] (South Korea; 2021–2024) Asian Agent [2] (US; 2020–present),,"['Wow', 'Park Junhee', 'Kim Byeongkwan', 'Kang Yuchan']",[],"['https://ace.beatkor.com/', 'https://ace-official.jp']","['http://cafe.daum.net/A.C.E-0523', 'https://www.instagram.com/official_a.c.e7/', 'https://twitter.com/official_ACE7', 'https://www.youtube.com/channel/UCHs6VoM3HaRxaRlnvdtzDZQ', 'https://www.instagram.com/a.c.ejp/', 'https://twitter.com/ACEofficial_jp']",CHOICE,,A.C.E Wiki,Adventure Calling Emotions,A.C.E (boy group),https://kpop.fandom.com/wiki/A.C.E_(boy_group),group,male,"{'subscribers': 1240000, 'top_videos': []}",1240000.0,[],"['http://cafe.daum.net/A.C.E-0523', 'https://www.instagram.com/official_a.c.e7/', 'https://twitter.com/official_ACE7', 'https://www.youtube.com/channel/UCHs6VoM3HaRxaRlnvdtzDZQ', 'https://www.instagram.com/a.c.ejp/', 'https://twitter.com/ACEofficial_jp']",https://www.youtube.com/channel/UCHs6VoM3HaRxaRlnvdtzDZQ
A.cian,https://static.wikia.nocookie.net/kpop/images/6/62/A.cian_Touch_group_photo.png/revision/latest/scale-to-width-down/350?cb=20160325065247,,,,"Seoul, South Korea",K-pop,"September 28, 2012",2020,2012–2020,Wings Entertainment (2016–2020) Elijah Entertainment (2014–2019) Mono Music Korea (2014–2015) ISS Entertainment (2012–2014),,[],"['U-Tae', 'Seul Gi', 'Chan Hee', 'Crooge', 'Hidden', 'Lo-J', 'Se Hee', 'Jung Sang', 'Hyuk Jin', 'Sang Hyeon', 'Jin.O']",[],"['http://cafe.daum.net/Acianaura', 'https://www.facebook.com/ACIAN-756185401148069', 'https://www.instagram.com/acian_wingsent/', 'https://twitter.com/acian_wingsent', 'https://www.youtube.com/channel/UCwu0PsK1NVHZdvsKx_Fn0cg']",A.URA,,,,A.cian,https://kpop.fandom.com/wiki/A.cian,group,male,"{'subscribers': 1520, 'top_videos': []}",1520.0,[],"['http://cafe.daum.net/Acianaura', 'https://www.facebook.com/ACIAN-756185401148069', 'https://www.instagram.com/acian_wingsent/', 'https://twitter.com/acian_wingsent', 'https://www.youtube.com/channel/UCwu0PsK1NVHZdvsKx_Fn0cg']",https://www.youtube.com/channel/UCwu0PsK1NVHZdvsKx_Fn0cg
